score_id,performance_id,onset_beat,duration_beat,pitch,voice,beat_period,tempo_bpm,timing,articulation_log,velocity_norm
n1,P01_n0,0.0,3.0,57,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.34645670652389526
n2,P01_n1,0.0,3.0,60,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.32283464074134827
n3,P01_n2,0.0,3.0,64,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.35433071851730347
n0,P00_n0,0.0,1.0,76,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.5275590419769287
n4,P00_n1,1.0,0.5,81,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.4960629940032959
n5,P00_n2,1.5,0.5,79,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.5039370059967041
n6,P00_n3,2.0,1.0,81,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.5748031735420227
n8,P01_n3,3.0,3.0,55,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.28346458077430725
n9,P01_n4,3.0,3.0,60,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.22834645211696625
n10,P01_n5,3.0,3.0,64,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.25196850299835205
n7,P00_n4,3.0,0.5,79,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.4645669162273407
n11,P00_n5,3.5,0.5,81,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.5275590419769287
n12,P00_n6,4.0,1.0,76,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.5354330539703369
n13,P00_n7,5.0,1.0,76,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.4488188922405243
n15,P01_n6,6.0,3.0,53,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.29133859276771545
n16,P01_n7,6.0,3.0,60,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.25984251499176025
n17,P01_n8,6.0,3.0,64,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.29133859276771545
n14,P00_n8,6.0,1.5,74,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.4960629940032959
n18,P00_n9,7.5,0.5,76,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.4724409580230713
n19,P00_n10,8.0,0.5,79,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.5118110179901123
n20,P00_n11,8.5,0.5,74,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.4881889820098877
n22,P01_n9,9.0,0.5,52,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.28346458077430725
n21,P00_n12,9.0,0.5,76,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.5118110179901123
n24,P01_n10,9.5,0.5,60,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.25984251499176025
n23,P00_n13,9.5,0.5,69,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.3937007784843445
n26,P01_n11,10.0,2.0,59,3,0.6666669845581055,89.99995708467623,0.0,0.0,0.26771652698516846
n25,P00_n14,10.0,2.0,68,1,0.6666669845581055,89.99995708467623,0.0,0.0,0.4724409580230713
n28,P01_n12,12.0,0.5,53,3,0.6666679382324219,89.99982833895046,0.0,-2.0637894522224087e-06,0.22834645211696625
n27,P00_n15,12.0,1.0,81,1,0.6666679382324219,89.99982833895046,0.0,-2.0637894522224087e-06,0.5511810779571533
