score_id,performance_id,onset_beat,duration_beat,pitch,voice,beat_period,tempo_bpm,timing,articulation_log,velocity_norm
n1,n3,0.0,3.0,57,3,0.6234375238418579,96.24059782327072,-0.002604166977107525,-0.14572268724441528,0.4015747904777527
n2,n1,0.0,3.0,60,3,0.6234375238418579,96.24059782327072,-0.0015624999068677425,-0.23652276396751404,0.4173228442668915
n3,n2,0.0,3.0,64,3,0.6234375238418579,96.24059782327072,-0.0015624999068677425,-0.2710111737251282,0.4015747904777527
n0,n0,0.0,1.0,76,1,0.6234375238418579,96.24059782327072,0.00572916679084301,-0.315314382314682,0.4566929042339325
n4,n4,1.0,0.5,81,1,0.6187499761581421,96.96970070616214,0.0,-0.2895064949989319,0.4173228442668915
n5,n5,1.5,0.5,79,1,0.6104166507720947,98.29351791781579,0.0,-0.33057063817977905,0.4094488322734833
n6,n6,2.0,1.0,81,1,0.6203125715255737,96.72542965305092,0.0,-0.2550618052482605,0.4173228442668915
n8,n8,3.0,3.0,55,3,0.6343751549720764,94.5812576828313,0.0005207955837249756,-0.05718415230512619,0.4173228442668915
n9,n9,3.0,3.0,60,3,0.6343751549720764,94.5812576828313,-0.0015625059604644775,-0.3933546245098114,0.4015747904777527
n10,n10,3.0,3.0,64,3,0.6343751549720764,94.5812576828313,-0.004687458276748657,-0.3107196092605591,0.4094488322734833
n7,n7,3.0,0.5,79,1,0.6343751549720764,94.5812576828313,0.005729168653488159,-0.11587242782115936,0.4645669162273407
n11,n11,3.5,0.5,81,1,0.6291666030883789,95.36424804730427,0.0,-0.26112473011016846,0.4251968562602997
n12,n12,4.0,1.0,76,1,0.6041665077209473,99.31037095441383,0.0,-0.395273894071579,0.4094488322734833
n13,n13,5.0,1.0,76,1,0.5994793176651001,100.08685576291904,0.0,-0.39388537406921387,0.4173228442668915
n15,n16,6.0,3.0,53,3,0.6128472685813904,97.9036753135689,-0.0015624761581420898,-0.08154899626970291,0.4251968562602997
n16,n17,6.0,3.0,60,3,0.6128472685813904,97.9036753135689,-0.0015624761581420898,-0.3321819007396698,0.4251968562602997
n17,n15,6.0,3.0,64,3,0.6128472685813904,97.9036753135689,-0.0005208253860473633,-0.34562167525291443,0.4251968562602997
n14,n14,6.0,1.5,74,1,0.6128472685813904,97.9036753135689,0.003645777702331543,-0.2996232509613037,0.4724409580230713
n18,n18,7.5,0.5,76,1,0.5874996185302734,102.12772588703943,0.0,-0.2878014147281647,0.4488188922405243
n19,n19,8.0,0.5,79,1,0.5958337783813477,100.69922548365257,0.0,-0.1264493763446808,0.4645669162273407
n20,n20,8.5,0.5,74,1,0.5968747138977051,100.52360839377602,0.0,-0.24950122833251953,0.4645669162273407
n22,n22,9.0,0.5,52,3,0.6072916984558105,98.79930872192861,-0.001562356948852539,-0.12665627896785736,0.4330708682537079
n21,n21,9.0,0.5,76,1,0.6072916984558105,98.79930872192861,0.001562356948852539,-0.17612482607364655,0.5433070659637451
