score_id,performance_id,onset_beat,duration_beat,pitch,voice,beat_period,tempo_bpm,timing,articulation_log,velocity_norm
n1,n0,0.0,3.0,57,3,0.8338541388511658,71.95503050769095,0.009895823895931244,-0.25602269172668457,0.24409449100494385
n2,n2,0.0,3.0,60,3,0.8338541388511658,71.95503050769095,-0.0010416582226753235,-0.26357513666152954,0.25984251499176025
n3,n3,0.0,3.0,64,3,0.8338541388511658,71.95503050769095,-0.012499995529651642,-0.271529883146286,0.29921260476112366
n0,n1,0.0,1.0,76,1,0.8338541388511658,71.95503050769095,0.0036458298563957214,2.233484983444214,0.5905511975288391
n4,n4,1.0,0.5,81,1,0.6395833492279053,93.81107258722578,0.0,1.9679255485534668,0.4881889820098877
n5,n5,1.5,0.5,79,1,0.7406251430511475,81.01264258031868,0.0,1.3304249048233032,0.5039370059967041
n6,n6,2.0,1.0,81,1,0.5403645634651184,111.03614866090885,0.0,0.05390702933073044,0.4645669162273407
n8,n10,3.0,3.0,55,3,0.47239553928375244,127.01220695473158,-0.004427015781402588,0.3836829960346222,0.33070865273475647
n9,n8,3.0,3.0,60,3,0.47239553928375244,127.01220695473158,0.0007812380790710449,0.3877411484718323,0.30708661675453186
n10,n9,3.0,3.0,64,3,0.47239553928375244,127.01220695473158,0.0007812380790710449,0.3877411484718323,0.36220473051071167
n7,n7,3.0,0.5,79,1,0.47239553928375244,127.01220695473158,0.002864539623260498,0.004764922894537449,0.4960629940032959
n11,n12,3.5,0.5,81,1,0.6541666984558105,91.71974076582109,0.0,2.3057568073272705,0.5039370059967041
n12,n13,4.0,1.0,76,1,0.5651042461395264,106.17510027554415,0.0,1.1908986568450928,0.5118110179901123
n13,n15,5.0,1.0,76,1,0.7088541984558105,84.64364058321982,0.0,0.24954450130462646,0.4015747904777527
n15,n17,6.0,3.0,53,3,0.6461806297302246,92.85329401633338,0.0005209445953369141,0.02268962189555168,0.29133859276771545
n16,n16,6.0,3.0,60,3,0.6461806297302246,92.85329401633338,0.0031249523162841797,0.04088941588997841,0.28346458077430725
n17,n19,6.0,3.0,64,3,0.6461806297302246,92.85329401633338,-0.0005209445953369141,0.4832654893398285,0.33070865273475647
n14,n20,6.0,1.5,74,1,0.6461806297302246,92.85329401633338,-0.0031249523162841797,0.7380503416061401,0.4015747904777527
n18,n21,7.5,0.5,76,1,0.6958332061767578,86.22756066740311,0.0,0.9550324082374573,0.4645669162273407
n19,n22,8.0,0.5,79,1,0.59375,101.05263157894737,0.0,0.15124361217021942,0.4881889820098877
n20,n23,8.5,0.5,74,1,0.7276039123535156,82.46244829267525,0.0,-0.03660476580262184,0.5433070659637451
n22,n24,9.0,0.5,52,3,0.6302084922790527,95.2065875580622,0.006510257720947266,0.22477476298809052,0.36220473051071167
n21,n26,9.0,0.5,76,1,0.6302084922790527,95.2065875580622,-0.006510257720947266,0.17283624410629272,0.5354330539703369
n24,n28,9.5,0.5,60,3,0.7307291030883789,82.10977193383145,-0.0002605915069580078,0.41760608553886414,0.3779527544975281
n23,n27,9.5,0.5,69,1,0.7307291030883789,82.10977193383145,0.0002605915069580078,0.11365686357021332,0.5354330539703369
n26,n31,10.0,2.0,59,3,0.5977863073348999,100.37031505036798,-0.0010416507720947266,0.022759655490517616,0.31496062874794006
n25,n30,10.0,2.0,68,1,0.5977863073348999,100.37031505036798,0.0010416507720947266,0.02523224428296089,0.4645669162273407
n28,n33,12.0,0.5,53,3,1.009897232055664,59.41198578975102,-0.00026035308837890625,2.0932700634002686,0.3385826647281647
n27,n32,12.0,1.0,81,1,1.009897232055664,59.41198578975102,0.00026035308837890625,1.0936188697814941,0.5669291615486145
n29,n35,12.5,0.5,57,3,0.8276033401489258,72.4984990867764,0.0,1.9954546689987183,0.28346458077430725
n31,n36,13.0,2.0,64,3,0.602604866027832,99.56773232765238,0.0007815361022949219,0.037536926567554474,0.33070865273475647
n30,n37,13.0,0.5,84,1,0.602604866027832,99.56773232765238,-0.0007815361022949219,2.0357134342193604,0.5196850299835205
n32,n38,13.5,0.5,83,1,0.7052078247070312,85.08130213235533,0.0,1.406757116317749,0.5748031735420227
n33,n39,14.0,1.0,81,1,0.5638022422790527,106.42029332388346,0.0,0.1570582538843155,0.5748031735420227
n35,n41,15.0,0.5,50,3,0.7874994277954102,76.19053155120235,-0.0018229484558105469,2.5423574447631836,0.4566929042339325
n34,n40,15.0,0.5,86,1,0.7874994277954102,76.19053155120235,0.0018229484558105469,2.5446486473083496,0.6299212574958801
n37,n43,15.5,0.5,57,3,0.9286460876464844,64.61018982168018,0.002864837646484375,2.036353588104248,0.4409448802471161
n36,n44,15.5,0.5,84,1,0.9286460876464844,64.61018982168018,-0.002864837646484375,2.0320074558258057,0.5511810779571533
n39,n46,16.0,1.0,64,3,0.6513018608093262,92.12318221452999,0.001041412353515625,1.1432087421417236,0.4960629940032959
n38,n47,16.0,1.0,83,1,0.6513018608093262,92.12318221452999,-0.001041412353515625,1.1411179304122925,0.4881889820098877
n41,n48,17.0,1.0,65,3,0.7648434638977051,78.44742464586815,0.0007815361022949219,0.041160885244607925,0.4173228442668915
n40,n49,17.0,1.0,81,1,0.7648434638977051,78.44742464586815,-0.0007815361022949219,0.23141705989837646,0.4173228442668915
n43,n51,18.0,0.5,52,3,0.9791679382324219,61.27651616975024,0.0,2.519015312194824,0.36220473051071167
n42,n52,18.0,1.5,79,1,0.9791679382324219,61.27651616975024,0.0,0.9340528845787048,0.5433070659637451
n44,n54,18.5,0.5,59,3,1.1218738555908203,53.48194870661442,0.0,2.04613995552063,0.33070865273475647
n45,n55,19.0,2.0,67,3,0.6916675567626953,86.74687631848177,0.0,0.34391966462135315,0.4645669162273407
n46,n56,19.5,0.5,76,1,0.9729156494140625,61.67030002666207,0.0,1.535201907157898,0.4173228442668915
n47,n57,20.0,0.5,79,1,0.8239593505859375,72.8191262801163,0.0,1.1644411087036133,0.5984252095222473
n48,n58,20.5,0.5,81,1,0.9833335876464844,61.01693337212686,0.0,0.05693580210208893,0.5511810779571533
n50,n59,21.0,3.0,45,4,1.5395832061767578,38.97158643929211,0.0031251907348632812,0.3807125687599182,0.34645670652389526
n49,n60,21.0,3.0,81,1,1.5395832061767578,38.97158643929211,-0.0031251907348632812,0.3792124092578888,0.5275590419769287
n52,n61,21.5,0.5,59,3,1.8385429382324219,32.63453833593035,0.0,2.5111758708953857,0.35433071851730347
n51,n62,21.5,0.5,74,2,1.8385429382324219,32.63453833593035,0.0,2.5111758708953857,0.5118110179901123
n53,n63,22.0,2.0,73,2,2.1497392654418945,27.910361486404057,0.0,0.007321858778595924,0.4645669162273407
n55,n64,24.0,1.0,76,1,1.242706298828125,48.281721961641416,0.0,-0.9903555512428284,0.6220472455024719
n56,n65,24.5,0.25,72,2,1.0125045776367188,59.2589913420892,0.0,1.1559984683990479,0.6220472455024719
n57,n66,24.75,0.25,71,2,1.2010383605957031,49.95677238006003,0.0,0.3306643068790436,0.6220472455024719
n59,n68,25.0,0.25,69,2,1.1114616394042969,53.982969697593724,-0.0007810592651367188,-0.07066413760185242,0.5511810779571533
n58,n67,25.0,1.5,81,1,1.1114616394042969,53.982969697593724,0.0007810592651367188,-1.1100083589553833,0.5826771855354309
n60,n69,25.25,0.25,68,2,0.9979171752929688,60.12523031521648,0.0,-0.052133575081825256,0.5118110179901123
n61,n71,25.5,0.25,69,2,0.9937515258789062,60.37726578274589,0.0,0.12174299359321594,0.4409448802471161
n62,n72,25.75,0.25,71,2,1.0812454223632812,55.49156441176678,0.0,-0.06829990446567535,0.6535432934761047
n64,n73,26.0,0.25,57,3,0.9614601135253906,62.40508488698267,0.0015621185302734375,-0.001566556515172124,0.5433070659637451
