score_id,performance_id,onset_beat,duration_beat,pitch,voice,beat_period,tempo_bpm,timing,articulation_log,velocity_norm
n1,P01_n2,0.0,3.0,57,3,0.621874988079071,96.48241390980503,-5.820766091346741e-11,-0.5073415637016296,0.31496062874794006
n2,P01_n1,0.0,3.0,60,3,0.621874988079071,96.48241390980503,0.0020833334419876337,-0.34200388193130493,0.32283464074134827
n3,P01_n3,0.0,3.0,64,3,0.621874988079071,96.48241390980503,-0.0062500000931322575,-0.47227632999420166,0.33070865273475647
n0,P01_n0,0.0,1.0,76,1,0.621874988079071,96.48241390980503,0.004166666883975267,-0.4834947884082794,0.36220473051071167
n4,P01_n4,1.0,0.5,81,1,0.5375000238418579,111.62790202527148,0.0,-0.4413716793060303,0.36220473051071167
n5,P01_n5,1.5,0.5,79,1,0.5937501192092896,101.05261129025685,0.0,-0.532766580581665,0.35433071851730347
n6,P01_n6,2.0,1.0,81,1,0.5531249642372131,108.47458328470671,0.0,-0.4268590807914734,0.3385826647281647
n8,P01_n7,3.0,3.0,55,3,0.6541668176651001,91.71972405166679,0.010416686534881592,-0.4915662705898285,0.25196850299835205
n9,P01_n8,3.0,3.0,60,3,0.6541668176651001,91.71972405166679,0.003125011920928955,-0.42734232544898987,0.3385826647281647
n10,P01_n10,3.0,3.0,64,3,0.6541668176651001,91.71972405166679,-0.009375035762786865,-0.4980406165122986,0.32283464074134827
n7,P01_n9,3.0,0.5,79,1,0.6541668176651001,91.71972405166679,-0.004166662693023682,-0.533069908618927,0.30708661675453186
n11,P01_n11,3.5,0.5,81,1,0.5062499046325684,118.5185408450545,0.0,-0.33235517144203186,0.34645670652389526
n12,P01_n12,4.0,1.0,76,1,0.6375000476837158,94.11764001901365,0.0,-0.3963010311126709,0.30708661675453186
n13,P01_n13,5.0,1.0,76,1,0.6156248450279236,97.46195346823359,0.0,-0.39965903759002686,0.33070865273475647
n15,P01_n14,6.0,3.0,53,3,0.6465279459953308,92.8034130181796,0.013541638851165771,-0.3459528684616089,0.22834645211696625
n16,P01_n15,6.0,3.0,60,3,0.6465279459953308,92.8034130181796,0.009375035762786865,-0.29944148659706116,0.25984251499176025
n17,P01_n17,6.0,3.0,64,3,0.6465279459953308,92.8034130181796,-0.018750011920928955,-0.4124574661254883,0.34645670652389526
n14,P01_n16,6.0,1.5,74,1,0.6465279459953308,92.8034130181796,-0.004166662693023682,-0.3747977912425995,0.29921260476112366
n18,P01_n18,7.5,0.5,76,1,0.6124992370605469,97.95930569309243,0.0,-0.4717501103878021,0.35433071851730347
n19,P01_n19,8.0,0.5,79,1,0.53125,112.94117647058823,0.0,-0.27325424551963806,0.29921260476112366
n20,P01_n20,8.5,0.5,74,1,0.6322922706604004,94.8928253342916,0.0,-0.22318622469902039,0.25984251499176025
n22,P01_n21,9.0,0.5,52,3,0.6729164123535156,89.16412038480507,0.002604246139526367,-0.40465250611305237,0.25196850299835205
n21,P01_n22,9.0,0.5,76,1,0.6729164123535156,89.16412038480507,-0.002604246139526367,-0.47740885615348816,0.33070865273475647
n24,P01_n24,9.5,0.5,60,3,0.585416316986084,102.49116442278165,-0.01093745231628418,-0.28267645835876465,0.34645670652389526
n23,P01_n23,9.5,0.5,69,1,0.585416316986084,102.49116442278165,0.01093745231628418,-0.5875310301780701,0.4094488322734833
n26,P01_n26,10.0,2.0,59,3,0.5828126668930054,102.94903218192235,-0.0036458969116210938,-0.5734058022499084,0.36220473051071167
n25,P01_n25,10.0,2.0,68,1,0.5828126668930054,102.94903218192235,0.0036458969116210938,-0.560038685798645,0.4094488322734833
n28,P01_n27,12.0,0.5,53,3,0.6135411262512207,97.7929554072507,0.008854150772094727,-0.3379363715648651,0.23622047901153564
n27,P01_n28,12.0,1.0,81,1,0.6135411262512207,97.7929554072507,-0.008854150772094727,-0.49476340413093567,0.3779527544975281
n29,P01_n29,12.5,0.5,57,3,0.5927081108093262,101.23026647648148,0.0,-0.5375744700431824,0.36220473051071167
n31,P01_n31,13.0,2.0,64,3,0.6489596366882324,92.45567306187439,-0.0067708492279052734,-0.5449989438056946,0.36220473051071167
n30,P01_n30,13.0,0.5,84,1,0.6489596366882324,92.45567306187439,0.0067708492279052734,-0.4065742790699005,0.3385826647281647
n32,P01_n32,13.5,0.5,83,1,0.5208320617675781,115.20028125068664,0.0,-0.5311524868011475,0.3937007784843445
n33,P01_n33,14.0,1.0,81,1,0.48593759536743164,123.47264457822459,0.0,-0.37388044595718384,0.3858267664909363
n35,P01_n34,15.0,0.5,50,3,0.7322921752929688,81.93450923601054,0.01718759536743164,-0.48583829402923584,0.28346458077430725
n34,P01_n35,15.0,0.5,86,1,0.7322921752929688,81.93450923601054,-0.01718759536743164,-0.3805662989616394,0.29133859276771545
n37,P01_n37,15.5,0.5,57,3,0.6354160308837891,94.42632398894162,-0.010416507720947266,-0.511197030544281,0.34645670652389526
n36,P01_n36,15.5,0.5,84,1,0.6354160308837891,94.42632398894162,0.010416507720947266,-0.2868797481060028,0.29921260476112366
n39,P01_n39,16.0,1.0,64,3,0.5656251907348633,106.07731229588215,-0.002083301544189453,-0.36713239550590515,0.32283464074134827
n38,P01_n38,16.0,1.0,83,1,0.5656251907348633,106.07731229588215,0.002083301544189453,-0.4664233326911926,0.3385826647281647
n41,P01_n40,17.0,1.0,65,3,0.5473957061767578,109.609920799462,0.003124713897705078,-0.36866164207458496,0.3385826647281647
n40,P01_n41,17.0,1.0,81,1,0.5473957061767578,109.609920799462,-0.003124713897705078,-0.43392032384872437,0.35433071851730347
n43,P01_n42,18.0,0.5,52,3,0.6989583969116211,85.84201901731588,0.009895801544189453,-0.5075260400772095,0.27559053897857666
n42,P01_n43,18.0,1.5,79,1,0.6989583969116211,85.84201901731588,-0.009895801544189453,-0.58926922082901,0.33070865273475647
n44,P01_n44,18.5,0.5,59,3,0.5666675567626953,105.88218662591679,0.0,-0.5025025606155396,0.3700787425041199
n45,P01_n45,19.0,2.0,67,3,0.6041660308837891,99.31044933497918,0.0,-0.39854782819747925,0.29133859276771545
