score_id,performance_id,onset_beat,duration_beat,pitch,voice,beat_period,tempo_bpm,timing,articulation_log,velocity_norm
n1,P01_n0,0.0,3.0,57,3,0.5,120.0,0.0,0.0,0.6299212574958801
n0,P00_n0,0.0,1.0,76,1,0.5,120.0,0.0,0.0,0.6062992215156555
n4,P00_n1,1.0,0.5,81,1,0.5,120.0,0.0,0.0,0.7007874250411987
n5,P00_n2,1.5,0.5,79,1,0.5,120.0,0.0,0.0,0.4803149700164795
n6,P00_n3,2.0,1.0,81,1,0.5,120.0,0.0,0.0,0.5748031735420227
n8,P01_n1,3.0,3.0,55,3,0.5,120.0,0.0,0.0,0.29921260476112366
n9,P01_n2,3.0,3.0,60,3,0.5,120.0,0.0,-4.321928024291992,0.4881889820098877
n10,P01_n3,3.0,3.0,64,3,0.5,120.0,0.0,-4.321928024291992,0.36220473051071167
n7,P00_n4,3.0,0.5,79,1,0.5,120.0,0.0,0.0,0.32283464074134827
n11,P00_n5,3.5,0.5,81,1,0.5,120.0,0.0,0.0,0.5748031735420227
n13,P00_n6,5.0,1.0,76,1,0.5,120.0,0.0,-2.7369654178619385,0.5748031735420227
n15,P01_n4,6.0,3.0,53,3,0.5,120.0,0.0,0.0,0.4566929042339325
n16,P01_n5,6.0,3.0,60,3,0.5,120.0,0.0,-4.321928024291992,0.17322835326194763
n17,P01_n6,6.0,3.0,64,3,0.5,120.0,0.0,-4.321928024291992,0.6141732335090637
n14,P00_n7,6.0,1.5,74,1,0.5,120.0,0.0,0.0,0.35433071851730347
n18,P00_n8,7.5,0.5,76,1,0.5,120.0,0.0,0.0,0.32283464074134827
n19,P00_n9,8.0,0.5,79,1,0.5,120.0,0.0,0.0,0.6062992215156555
n20,P00_n10,8.5,0.5,74,1,0.5,120.0,0.0,0.0,0.5433070659637451
n22,P01_n7,9.0,0.5,52,3,0.5,120.0,0.0,0.0,0.4881889820098877
n21,P00_n11,9.0,0.5,76,1,0.5,120.0,0.0,0.0,0.5748031735420227
n24,P01_n8,9.5,0.5,60,3,0.5,120.0,0.0,0.0,0.3937007784843445
n23,P00_n12,9.5,0.5,69,1,0.5,120.0,0.0,0.0,0.4803149700164795
n26,P01_n9,10.0,2.0,59,3,0.5,120.0,0.0,0.0,0.3937007784843445
n25,P00_n13,10.0,2.0,68,1,0.5,120.0,0.0,0.0,0.6377952694892883
n28,P01_n10,12.0,0.5,53,3,0.5,120.0,0.0,0.0,0.33070865273475647
n27,P00_n14,12.0,1.0,81,1,0.5,120.0,0.0,0.0,0.3858267664909363
n29,P01_n11,12.5,0.5,57,3,0.5,120.0,0.0,0.0,0.6377952694892883
n31,P01_n12,13.0,2.0,64,3,0.5,120.0,0.0,0.0,0.3937007784843445
n30,P00_n15,13.0,0.5,84,1,0.5,120.0,0.0,0.0,0.4173228442668915
n32,P00_n16,13.5,0.5,83,1,0.5,120.0,0.0,0.0,0.6062992215156555
n33,P00_n17,14.0,1.0,81,1,0.5,120.0,0.0,0.0,0.5433070659637451
n35,P01_n13,15.0,0.5,50,3,0.5,120.0,0.0,0.0,0.4566929042339325
n34,P00_n18,15.0,0.5,86,1,0.5,120.0,0.0,0.0,0.5433070659637451
n37,P01_n14,15.5,0.5,57,3,0.5,120.0,0.0,0.0,0.6141732335090637
n36,P00_n19,15.5,0.5,84,1,0.5,120.0,0.0,0.0,0.6062992215156555
n39,P01_n15,16.0,1.0,64,3,0.5,120.0,0.0,0.0,0.5511810779571533
n38,P00_n20,16.0,1.0,83,1,0.5,120.0,0.0,0.0,0.6377952694892883
n41,P01_n16,17.0,1.0,65,3,0.5,120.0,0.0,0.0,0.29921260476112366
n40,P00_n21,17.0,1.0,81,1,0.5,120.0,0.0,0.0,0.6377952694892883
n43,P01_n17,18.0,0.5,52,3,0.5,120.0,0.0,0.0,0.4881889820098877
n42,P00_n22,18.0,1.5,79,1,0.5,120.0,0.0,0.0,0.6062992215156555
n44,P01_n18,18.5,0.5,59,3,0.5,120.0,0.0,0.0,0.5433070659637451
n45,P01_n19,19.0,2.0,67,3,0.5,120.0,0.0,0.0,0.4488188922405243
n46,P00_n23,19.5,0.5,76,1,0.5,120.0,0.0,0.0,0.5748031735420227
n47,P00_n24,20.0,0.5,79,1,0.5,120.0,0.0,0.0,0.4488188922405243
n50,P01_n20,21.0,3.0,45,4,0.5,120.0,0.0,0.0,0.36220473051071167
n49,P00_n25,21.0,3.0,81,1,0.5,120.0,0.0,-4.321928024291992,0.6062992215156555
n52,P01_n21,21.5,0.5,59,3,0.5,120.0,0.0,0.0,0.4566929042339325
n51,P00_n26,21.5,0.5,74,2,0.5,120.0,0.0,0.0,0.5748031735420227
n54,P01_n22,22.0,2.0,57,3,0.5,120.0,0.0,0.0,0.33070865273475647
n53,P00_n27,22.0,2.0,73,2,0.5,120.0,0.0,0.0,0.6062992215156555
n55,P00_n28,24.0,1.0,76,1,0.5,120.0,0.0,0.0,0.3858267664909363
n56,P00_n29,24.5,0.25,72,2,0.5,120.0,0.0,0.0,0.4173228442668915
n57,P00_n30,24.75,0.25,71,2,0.5,120.0,0.0,0.0,0.5433070659637451
n59,P00_n31,25.0,0.25,69,2,0.5,120.0,0.0,0.0,0.6141732335090637
n60,P00_n32,25.25,0.25,68,2,0.5,120.0,0.0,0.0,0.3858267664909363
n61,P00_n33,25.5,0.25,69,2,0.5,120.0,0.0,0.0,0.5433070659637451
