onset_beat,beat_period,tempo_bpm,timing
0.0,0.5,120.0,0.0
1.0,0.5,120.0,0.0
1.5,0.5,120.0,0.0
2.0,0.5,120.0,0.0
3.0,0.5,120.0,0.0
3.5,0.5,120.0,0.0
5.0,0.5,120.0,0.0
6.0,0.5,120.0,0.0
7.5,0.5,120.0,0.0
8.0,0.5,120.0,0.0
8.5,0.5,120.0,0.0
9.0,0.5,120.0,0.0
9.5,0.5,120.0,0.0
10.0,0.5,120.0,0.0
12.0,0.5,120.0,0.0
12.5,0.5,120.0,0.0
13.0,0.5,120.0,0.0
13.5,0.5,120.0,0.0
14.0,0.5,120.0,0.0
15.0,0.5,120.0,0.0
15.5,0.5,120.0,0.0
16.0,0.5,120.0,0.0
17.0,0.5,120.0,0.0
18.0,0.5,120.0,0.0
18.5,0.5,120.0,0.0
19.0,0.5,120.0,0.0
19.5,0.5,120.0,0.0
20.0,0.5,120.0,0.0
21.0,0.5,120.0,0.0
21.5,0.5,120.0,0.0
22.0,0.5,120.0,0.0
24.0,0.5,120.0,0.0
24.5,0.5,120.0,0.0
24.75,0.5,120.0,0.0
25.0,0.5,120.0,0.0
25.25,0.5,120.0,0.0
25.5,0.5,120.0,0.0
25.75,0.5,120.0,0.0
26.0,0.5,120.0,0.0
26.25,0.5,120.0,0.0
26.5,0.5,120.0,0.0
26.75,1.5,40.0,0.0
27.0,0.1666666716337204,359.9999892711643,-0.25
27.25,0.1666666716337204,359.9999892711643,0.1666666716337204
27.5,0.1666666716337204,359.9999892711643,0.0833333358168602
27.75,1.5,40.0,0.0
28.0,0.1666666716337204,359.9999892711643,-0.25
28.25,0.1666666716337204,359.9999892711643,0.1666666716337204
28.5,0.1666666716337204,359.9999892711643,0.0833333358168602
28.75,0.5,120.0,0.0
29.0,0.5,120.0,0.0
29.25,0.5,120.0,0.0
29.5,0.5,120.0,0.0
29.75,0.5,120.0,0.0
30.0,0.5,120.0,0.0
30.25,1.0,60.0,0.0
30.5,0.25,240.0,0.125
30.75,0.25,240.0,0.0625
31.0,0.5,120.0,0.0
31.25,0.5,120.0,0.0
31.5,0.5,120.0,0.0
31.75,0.5,120.0,0.0
32.0,0.5,120.0,0.0
32.25,0.5,120.0,0.0
32.5,0.5,120.0,0.0
32.75,1.5,40.0,0.0
33.0,0.25,240.0,0.25
33.25,0.25,240.0,0.1875
33.5,0.25,240.0,0.125
33.75,0.25,240.0,0.0625
34.0,0.5,120.0,0.0
34.25,0.5,120.0,0.0
34.5,0.5,120.0,0.0
34.75,0.5,120.0,0.0
35.0,0.5,120.0,0.0
35.25,0.5,120.0,0.0
35.5,0.5,120.0,0.0
35.75,0.5,120.0,0.0
36.0,0.5,120.0,0.0
36.25,0.5,120.0,0.0
36.5,0.6666666865348816,89.99999731779107,0.0
36.75,0.3333333432674408,179.99999463558214,0.0416666679084301
37.0,0.5,120.0,0.0
37.25,0.5,120.0,0.0
37.5,0.5,120.0,0.0
37.75,0.5,120.0,0.0
38.0,0.5,120.0,0.0
38.25,0.5,120.0,0.0
38.5,0.5,120.0,0.0
38.75,0.5,120.0,0.0
39.0,0.5,120.0,0.0
39.25,0.5,120.0,0.0
39.5,0.5,120.0,0.0
39.75,0.5,120.0,0.0
40.0,0.5,120.0,0.0
40.25,0.5,120.0,0.0
40.5,0.5,120.0,0.0
40.75,0.5,120.0,0.0
41.0,0.5,120.0,0.0
41.25,0.5,120.0,0.0
41.5,0.5,120.0,0.0
41.75,0.5,120.0,0.0
42.0,0.5,120.0,0.0
42.25,0.5,120.0,0.0
42.5,0.5,120.0,0.0
42.75,1.1666666269302368,51.428573180218194,0.0
43.0,0.1666666716337204,359.9999892711643,0.1666666716337204
43.25,0.1666666716337204,359.9999892711643,0.0833333358168602
43.5,0.5,120.0,0.0
43.75,0.5,120.0,0.0
44.0,0.5,120.0,0.0
44.25,0.5,120.0,0.0
44.5,0.5,120.0,0.0
44.75,0.5,120.0,0.0
45.0,0.5,120.0,0.0
45.25,0.5,120.0,0.0
45.5,0.5,120.0,0.0
45.75,2.5,24.0,0.0
46.0,0.10000000149011612,599.9999910593034,0.5
46.25,0.10000000149011612,599.9999910593034,0.4000000059604645
46.5,0.10000000149011612,599.9999910593034,0.30000001192092896
46.75,0.10000000149011612,599.9999910593034,0.20000000298023224
47.0,0.10000000149011612,599.9999910593034,0.10000000149011612
47.25,0.5,120.0,0.0
47.5,0.5,120.0,0.0
47.75,0.5,120.0,0.0
48.0,0.5,120.0,0.0
48.25,0.5,120.0,0.0
48.5,0.5,120.0,0.0
48.75,0.5,120.0,0.0
49.0,0.5,120.0,0.0
49.25,0.5,120.0,0.0
49.5,0.5,120.0,0.0
49.75,0.5,120.0,0.0
50.0,0.5,120.0,0.0
50.25,0.5,120.0,0.0
50.5,0.5,120.0,0.0
50.75,0.5,120.0,0.0
51.0,0.5,120.0,0.0
51.25,0.5,120.0,0.0
51.5,0.5,120.0,0.0
52.0,0.5,120.0,0.0
52.25,0.5,120.0,0.0
52.5,0.5,120.0,0.0
53.0,0.5,120.0,0.0
53.25,0.5,120.0,0.0
53.5,0.5,120.0,0.0
53.75,0.5,120.0,0.0
54.0,0.5,120.0,0.0
54.25,0.5,120.0,0.0
54.5,0.5,120.0,0.0
55.0,0.5,120.0,0.0
55.25,0.5,120.0,0.0
55.5,0.5,120.0,0.0
56.0,0.5,120.0,0.0
56.25,0.5,120.0,0.0
56.5,0.5,120.0,0.0
56.75,0.5,120.0,0.0
57.0,0.5,120.0,0.0
57.25,0.5,120.0,0.0
57.5,0.5,120.0,0.0
58.0,0.5,120.0,0.0
58.25,0.5,120.0,0.0
58.5,0.5,120.0,0.0
59.0,0.5,120.0,0.0
59.25,0.5,120.0,0.0
59.5,0.5,120.0,0.0
59.75,0.5,120.0,0.0
60.0,0.5,120.0,0.0
63.0,0.5,120.0,0.0
63.25,0.5,120.0,0.0
63.5,0.5,120.0,0.0
63.75,0.5,120.0,0.0
64.0,0.5,120.0,0.0
